id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.00142208,0.55423385,0.38070306,0.04848951,0.00024726,0.00151495,0.00886824,0.00399434,0.00052672
2,0.0001259,0.00026141,6.928e-05,0.00017237,0.99884915,0.00011184,0.0001917,0.00015055,6.775e-05
3,0.12091804,0.22899991,0.06390054,0.02377288,0.00255852,0.19969611,0.01038196,0.09667221,0.25309986
4,0.00391726,0.00124569,0.00055634,0.00238676,0.00299481,0.98216838,0.00157553,0.00222234,0.00293283
5,0.01218945,0.22526109,0.25536701,0.32000402,0.00099454,0.00248469,0.18005113,0.00170769,0.00194033
6,0.00171438,0.0146343,0.0030813,0.00719349,6.715e-05,0.65179598,0.31510261,0.00351963,0.00289119
7,0.00677396,5.577e-05,4.32e-05,0.00015418,1.081e-05,0.98727047,0.00459783,0.00070416,0.00038961
8,4.93e-06,9.16e-06,1.84e-05,1.197e-05,1.57e-06,0.99988532,3.804e-05,2.276e-05,7.79e-06
9,0.22007325,0.00458547,0.00399323,0.00439957,0.00080041,0.15382974,0.03434899,0.54069102,0.0372783
10,0.00158281,0.94407237,0.03310429,0.0007068,0.00013432,0.008288,0.00846502,0.00267539,0.00097102
11,0.00530777,0.00032462,0.00015235,0.00198517,0.0001689,0.91073471,0.00554753,0.07086506,0.0049139
12,0.00225892,0.00010368,7.466e-05,3.352e-05,4.438e-05,0.00036409,6.606e-05,0.00058084,0.99647385
13,4.15e-06,6.226e-05,6.242e-05,3.624e-05,3.43e-06,0.99968112,1.696e-05,0.00012429,9.1e-06
14,0.00231475,0.00379182,0.00144477,0.00108169,0.0002971,0.01978221,0.00110438,0.01023119,0.95995212
15,0.0003275,0.89539945,0.07066916,0.02904347,0.00016713,0.00037988,0.00284191,0.00050713,0.00066433
16,0.03255697,0.00041173,0.00085956,0.00041742,5.176e-05,0.28316304,0.41599193,0.25981495,0.00673267
17,0.00022199,0.00023654,0.00020309,0.00010501,2.494e-05,0.99786723,0.0006869,0.00046617,0.00018809
18,0.00033825,0.73805112,0.24526049,0.01521041,0.00023402,9.086e-05,0.00030151,0.00023429,0.00027906
19,0.00064527,0.74216706,0.21854196,0.01967114,5.264e-05,0.00041073,0.01733564,0.00083074,0.00034483
